time_start,time_end,scenario_id,ue_total,attackers,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flow_duration,total_bytes_fwd,total_bytes_bwd,total_pkts_fwd,total_pkts_bwd,pkts_per_sec,bytes_per_sec,flow_pkts_per_sec,flow_bytes_per_sec,jitter_ms,delay_ms,label_binary,label_intensity
2,3,50_mobile_udp_benign_high_r5,50,0,10.1.1.22,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_mobile_udp_benign_high_r5,50,0,10.1.1.35,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_mobile_udp_benign_high_r5,50,0,10.1.1.37,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_mobile_udp_benign_high_r5,50,0,10.1.1.38,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_mobile_udp_benign_high_r5,50,0,10.1.1.41,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_mobile_udp_benign_high_r5,50,0,10.1.1.45,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_mobile_udp_benign_high_r5,50,0,10.1.1.48,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_mobile_udp_benign_high_r5,50,0,10.1.1.50,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_mobile_udp_benign_high_r5,50,0,10.1.1.2,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_mobile_udp_benign_high_r5,50,0,10.1.1.11,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_mobile_udp_benign_high_r5,50,0,10.1.1.12,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_mobile_udp_benign_high_r5,50,0,10.1.1.13,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_mobile_udp_benign_high_r5,50,0,10.1.1.18,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_mobile_udp_benign_high_r5,50,0,10.1.1.19,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_mobile_udp_benign_high_r5,50,0,10.1.1.20,10.1.1.34,49153,1033,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_mobile_udp_benign_high_r5,50,0,10.1.1.22,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_mobile_udp_benign_high_r5,50,0,10.1.1.35,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_mobile_udp_benign_high_r5,50,0,10.1.1.37,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_mobile_udp_benign_high_r5,50,0,10.1.1.38,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_mobile_udp_benign_high_r5,50,0,10.1.1.41,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_mobile_udp_benign_high_r5,50,0,10.1.1.45,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_mobile_udp_benign_high_r5,50,0,10.1.1.48,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_mobile_udp_benign_high_r5,50,0,10.1.1.50,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,50_mobile_udp_benign_high_r5,50,0,10.1.1.2,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,50_mobile_udp_benign_high_r5,50,0,10.1.1.11,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,50_mobile_udp_benign_high_r5,50,0,10.1.1.12,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,50_mobile_udp_benign_high_r5,50,0,10.1.1.13,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,50_mobile_udp_benign_high_r5,50,0,10.1.1.18,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,50_mobile_udp_benign_high_r5,50,0,10.1.1.19,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,50_mobile_udp_benign_high_r5,50,0,10.1.1.20,10.1.1.34,49153,1033,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,50_mobile_udp_benign_high_r5,50,0,10.1.1.22,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,50_mobile_udp_benign_high_r5,50,0,10.1.1.35,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,50_mobile_udp_benign_high_r5,50,0,10.1.1.37,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,50_mobile_udp_benign_high_r5,50,0,10.1.1.38,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,50_mobile_udp_benign_high_r5,50,0,10.1.1.41,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,50_mobile_udp_benign_high_r5,50,0,10.1.1.45,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,50_mobile_udp_benign_high_r5,50,0,10.1.1.48,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,50_mobile_udp_benign_high_r5,50,0,10.1.1.50,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,50_mobile_udp_benign_high_r5,50,0,10.1.1.2,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,50_mobile_udp_benign_high_r5,50,0,10.1.1.11,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,50_mobile_udp_benign_high_r5,50,0,10.1.1.12,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,50_mobile_udp_benign_high_r5,50,0,10.1.1.13,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,50_mobile_udp_benign_high_r5,50,0,10.1.1.18,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,50_mobile_udp_benign_high_r5,50,0,10.1.1.19,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,50_mobile_udp_benign_high_r5,50,0,10.1.1.20,10.1.1.34,49153,1033,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,50_mobile_udp_benign_high_r5,50,0,10.1.1.22,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,50_mobile_udp_benign_high_r5,50,0,10.1.1.35,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,50_mobile_udp_benign_high_r5,50,0,10.1.1.37,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,50_mobile_udp_benign_high_r5,50,0,10.1.1.38,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,50_mobile_udp_benign_high_r5,50,0,10.1.1.41,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,50_mobile_udp_benign_high_r5,50,0,10.1.1.45,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,50_mobile_udp_benign_high_r5,50,0,10.1.1.48,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,50_mobile_udp_benign_high_r5,50,0,10.1.1.50,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,50_mobile_udp_benign_high_r5,50,0,10.1.1.2,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,50_mobile_udp_benign_high_r5,50,0,10.1.1.11,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,50_mobile_udp_benign_high_r5,50,0,10.1.1.12,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,50_mobile_udp_benign_high_r5,50,0,10.1.1.13,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,50_mobile_udp_benign_high_r5,50,0,10.1.1.18,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,50_mobile_udp_benign_high_r5,50,0,10.1.1.19,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,50_mobile_udp_benign_high_r5,50,0,10.1.1.20,10.1.1.34,49153,1033,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,50_mobile_udp_benign_high_r5,50,0,10.1.1.22,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,50_mobile_udp_benign_high_r5,50,0,10.1.1.35,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,50_mobile_udp_benign_high_r5,50,0,10.1.1.37,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,50_mobile_udp_benign_high_r5,50,0,10.1.1.38,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,50_mobile_udp_benign_high_r5,50,0,10.1.1.41,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,50_mobile_udp_benign_high_r5,50,0,10.1.1.45,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,50_mobile_udp_benign_high_r5,50,0,10.1.1.48,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,50_mobile_udp_benign_high_r5,50,0,10.1.1.50,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,50_mobile_udp_benign_high_r5,50,0,10.1.1.2,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,50_mobile_udp_benign_high_r5,50,0,10.1.1.11,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,50_mobile_udp_benign_high_r5,50,0,10.1.1.12,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,50_mobile_udp_benign_high_r5,50,0,10.1.1.13,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,50_mobile_udp_benign_high_r5,50,0,10.1.1.18,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,50_mobile_udp_benign_high_r5,50,0,10.1.1.19,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,50_mobile_udp_benign_high_r5,50,0,10.1.1.20,10.1.1.34,49153,1033,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,50_mobile_udp_benign_high_r5,50,0,10.1.1.22,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,50_mobile_udp_benign_high_r5,50,0,10.1.1.35,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,50_mobile_udp_benign_high_r5,50,0,10.1.1.37,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,50_mobile_udp_benign_high_r5,50,0,10.1.1.38,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,50_mobile_udp_benign_high_r5,50,0,10.1.1.41,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,50_mobile_udp_benign_high_r5,50,0,10.1.1.45,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,50_mobile_udp_benign_high_r5,50,0,10.1.1.48,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,50_mobile_udp_benign_high_r5,50,0,10.1.1.50,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,50_mobile_udp_benign_high_r5,50,0,10.1.1.2,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,50_mobile_udp_benign_high_r5,50,0,10.1.1.11,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,50_mobile_udp_benign_high_r5,50,0,10.1.1.12,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,50_mobile_udp_benign_high_r5,50,0,10.1.1.13,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,50_mobile_udp_benign_high_r5,50,0,10.1.1.18,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,50_mobile_udp_benign_high_r5,50,0,10.1.1.19,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,50_mobile_udp_benign_high_r5,50,0,10.1.1.20,10.1.1.34,49153,1033,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,50_mobile_udp_benign_high_r5,50,0,10.1.1.22,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,50_mobile_udp_benign_high_r5,50,0,10.1.1.35,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,50_mobile_udp_benign_high_r5,50,0,10.1.1.37,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,50_mobile_udp_benign_high_r5,50,0,10.1.1.38,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,50_mobile_udp_benign_high_r5,50,0,10.1.1.41,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,50_mobile_udp_benign_high_r5,50,0,10.1.1.45,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,50_mobile_udp_benign_high_r5,50,0,10.1.1.48,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,50_mobile_udp_benign_high_r5,50,0,10.1.1.50,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,50_mobile_udp_benign_high_r5,50,0,10.1.1.2,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,50_mobile_udp_benign_high_r5,50,0,10.1.1.11,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,50_mobile_udp_benign_high_r5,50,0,10.1.1.12,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,50_mobile_udp_benign_high_r5,50,0,10.1.1.13,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,50_mobile_udp_benign_high_r5,50,0,10.1.1.18,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,50_mobile_udp_benign_high_r5,50,0,10.1.1.19,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,50_mobile_udp_benign_high_r5,50,0,10.1.1.20,10.1.1.34,49153,1033,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,50_mobile_udp_benign_high_r5,50,0,10.1.1.22,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,50_mobile_udp_benign_high_r5,50,0,10.1.1.35,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,50_mobile_udp_benign_high_r5,50,0,10.1.1.37,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,50_mobile_udp_benign_high_r5,50,0,10.1.1.38,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,50_mobile_udp_benign_high_r5,50,0,10.1.1.41,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,50_mobile_udp_benign_high_r5,50,0,10.1.1.45,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,50_mobile_udp_benign_high_r5,50,0,10.1.1.48,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,50_mobile_udp_benign_high_r5,50,0,10.1.1.50,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,50_mobile_udp_benign_high_r5,50,0,10.1.1.2,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,50_mobile_udp_benign_high_r5,50,0,10.1.1.11,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,50_mobile_udp_benign_high_r5,50,0,10.1.1.12,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,50_mobile_udp_benign_high_r5,50,0,10.1.1.13,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,50_mobile_udp_benign_high_r5,50,0,10.1.1.18,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,50_mobile_udp_benign_high_r5,50,0,10.1.1.19,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,50_mobile_udp_benign_high_r5,50,0,10.1.1.20,10.1.1.34,49153,1033,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,50_mobile_udp_benign_high_r5,50,0,10.1.1.22,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,50_mobile_udp_benign_high_r5,50,0,10.1.1.35,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,50_mobile_udp_benign_high_r5,50,0,10.1.1.37,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,50_mobile_udp_benign_high_r5,50,0,10.1.1.38,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,50_mobile_udp_benign_high_r5,50,0,10.1.1.41,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,50_mobile_udp_benign_high_r5,50,0,10.1.1.45,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,50_mobile_udp_benign_high_r5,50,0,10.1.1.48,10.1.1.36,49153,1035,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,50_mobile_udp_benign_high_r5,50,0,10.1.1.50,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
11,12,50_mobile_udp_benign_high_r5,50,0,10.1.1.2,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
11,12,50_mobile_udp_benign_high_r5,50,0,10.1.1.11,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
11,12,50_mobile_udp_benign_high_r5,50,0,10.1.1.12,10.1.1.15,49153,1014,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
11,12,50_mobile_udp_benign_high_r5,50,0,10.1.1.13,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
11,12,50_mobile_udp_benign_high_r5,50,0,10.1.1.18,10.1.1.14,49153,1013,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
