time_start,time_end,scenario_id,ue_total,attackers,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flow_duration,total_bytes_fwd,total_bytes_bwd,total_pkts_fwd,total_pkts_bwd,pkts_per_sec,bytes_per_sec,flow_pkts_per_sec,flow_bytes_per_sec,jitter_ms,delay_ms,label_binary,label_intensity
7,8,10_mobile_udp_benign_high_r42,10,0,10.1.1.8,10.1.1.6,49153,1005,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,10_mobile_udp_benign_high_r42,10,0,10.1.1.9,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,10_mobile_udp_benign_high_r42,10,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,10_mobile_udp_benign_high_r42,10,0,10.1.1.2,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,10_mobile_udp_benign_high_r42,10,0,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,10_mobile_udp_benign_high_r42,10,0,10.1.1.8,10.1.1.6,49153,1005,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,10_mobile_udp_benign_high_r42,10,0,10.1.1.9,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,10_mobile_udp_benign_high_r42,10,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,10_mobile_udp_benign_high_r42,10,0,10.1.1.2,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,10_mobile_udp_benign_high_r42,10,0,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,10_mobile_udp_benign_high_r42,10,0,10.1.1.8,10.1.1.6,49153,1005,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,10_mobile_udp_benign_high_r42,10,0,10.1.1.9,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,10_mobile_udp_benign_high_r42,10,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,10_mobile_udp_benign_high_r42,10,0,10.1.1.2,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,10_mobile_udp_benign_high_r42,10,0,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,10_mobile_udp_benign_high_r42,10,0,10.1.1.8,10.1.1.6,49153,1005,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,10_mobile_udp_benign_high_r42,10,0,10.1.1.9,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,10_mobile_udp_benign_high_r42,10,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
11,12,10_mobile_udp_benign_high_r42,10,0,10.1.1.2,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
11,12,10_mobile_udp_benign_high_r42,10,0,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
11,12,10_mobile_udp_benign_high_r42,10,0,10.1.1.8,10.1.1.6,49153,1005,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
11,12,10_mobile_udp_benign_high_r42,10,0,10.1.1.9,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
11,12,10_mobile_udp_benign_high_r42,10,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
12,13,10_mobile_udp_benign_high_r42,10,0,10.1.1.2,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
12,13,10_mobile_udp_benign_high_r42,10,0,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
12,13,10_mobile_udp_benign_high_r42,10,0,10.1.1.8,10.1.1.6,49153,1005,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
12,13,10_mobile_udp_benign_high_r42,10,0,10.1.1.9,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
12,13,10_mobile_udp_benign_high_r42,10,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
13,14,10_mobile_udp_benign_high_r42,10,0,10.1.1.2,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
13,14,10_mobile_udp_benign_high_r42,10,0,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
13,14,10_mobile_udp_benign_high_r42,10,0,10.1.1.8,10.1.1.6,49153,1005,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
13,14,10_mobile_udp_benign_high_r42,10,0,10.1.1.9,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
13,14,10_mobile_udp_benign_high_r42,10,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
14,15,10_mobile_udp_benign_high_r42,10,0,10.1.1.2,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
14,15,10_mobile_udp_benign_high_r42,10,0,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
14,15,10_mobile_udp_benign_high_r42,10,0,10.1.1.8,10.1.1.6,49153,1005,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
14,15,10_mobile_udp_benign_high_r42,10,0,10.1.1.9,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
14,15,10_mobile_udp_benign_high_r42,10,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
15,16,10_mobile_udp_benign_high_r42,10,0,10.1.1.2,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
15,16,10_mobile_udp_benign_high_r42,10,0,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
15,16,10_mobile_udp_benign_high_r42,10,0,10.1.1.8,10.1.1.6,49153,1005,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
15,16,10_mobile_udp_benign_high_r42,10,0,10.1.1.9,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
15,16,10_mobile_udp_benign_high_r42,10,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
16,17,10_mobile_udp_benign_high_r42,10,0,10.1.1.2,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
16,17,10_mobile_udp_benign_high_r42,10,0,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
16,17,10_mobile_udp_benign_high_r42,10,0,10.1.1.8,10.1.1.6,49153,1005,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
16,17,10_mobile_udp_benign_high_r42,10,0,10.1.1.9,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
16,17,10_mobile_udp_benign_high_r42,10,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,10_mobile_udp_benign_high_r42,10,0,10.1.1.2,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,10_mobile_udp_benign_high_r42,10,0,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,10_mobile_udp_benign_high_r42,10,0,10.1.1.8,10.1.1.6,49153,1005,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,10_mobile_udp_benign_high_r42,10,0,10.1.1.9,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
17,18,10_mobile_udp_benign_high_r42,10,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,10_mobile_udp_benign_high_r42,10,0,10.1.1.2,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,10_mobile_udp_benign_high_r42,10,0,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,10_mobile_udp_benign_high_r42,10,0,10.1.1.8,10.1.1.6,49153,1005,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,10_mobile_udp_benign_high_r42,10,0,10.1.1.9,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
18,19,10_mobile_udp_benign_high_r42,10,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
