time_start,time_end,scenario_id,ue_total,attackers,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flow_duration,total_bytes_fwd,total_bytes_bwd,total_pkts_fwd,total_pkts_bwd,pkts_per_sec,bytes_per_sec,flow_pkts_per_sec,flow_bytes_per_sec,jitter_ms,delay_ms,label_binary,label_intensity
2,3,50_static_tcp_benign_low_r9,50,0,10.1.1.38,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_static_tcp_benign_low_r9,50,0,10.1.1.39,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_static_tcp_benign_low_r9,50,0,10.1.1.40,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_static_tcp_benign_low_r9,50,0,10.1.1.42,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_static_tcp_benign_low_r9,50,0,10.1.1.45,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_static_tcp_benign_low_r9,50,0,10.1.1.46,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,4,50_static_tcp_benign_low_r9,50,0,10.1.1.2,10.1.1.36,49153,1035,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_static_tcp_benign_low_r9,50,0,10.1.1.4,10.1.1.5,49153,1004,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_static_tcp_benign_low_r9,50,0,10.1.1.6,10.1.1.3,49153,1002,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_static_tcp_benign_low_r9,50,0,10.1.1.9,10.1.1.3,49153,1002,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_static_tcp_benign_low_r9,50,0,10.1.1.13,10.1.1.32,49153,1031,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_static_tcp_benign_low_r9,50,0,10.1.1.16,10.1.1.36,49153,1035,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_static_tcp_benign_low_r9,50,0,10.1.1.18,10.1.1.32,49153,1031,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_static_tcp_benign_low_r9,50,0,10.1.1.27,10.1.1.5,49153,1004,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_static_tcp_benign_low_r9,50,0,10.1.1.34,10.1.1.5,49153,1004,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_static_tcp_benign_low_r9,50,0,10.1.1.38,10.1.1.32,49153,1031,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_static_tcp_benign_low_r9,50,0,10.1.1.39,10.1.1.5,49153,1004,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_static_tcp_benign_low_r9,50,0,10.1.1.40,10.1.1.32,49153,1031,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_static_tcp_benign_low_r9,50,0,10.1.1.42,10.1.1.36,49153,1035,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_static_tcp_benign_low_r9,50,0,10.1.1.45,10.1.1.32,49153,1031,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_static_tcp_benign_low_r9,50,0,10.1.1.46,10.1.1.5,49153,1004,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
4,5,50_static_tcp_benign_low_r9,50,0,10.1.1.2,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,50_static_tcp_benign_low_r9,50,0,10.1.1.4,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,50_static_tcp_benign_low_r9,50,0,10.1.1.6,10.1.1.3,49153,1002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,50_static_tcp_benign_low_r9,50,0,10.1.1.9,10.1.1.3,49153,1002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,50_static_tcp_benign_low_r9,50,0,10.1.1.13,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,50_static_tcp_benign_low_r9,50,0,10.1.1.16,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,50_static_tcp_benign_low_r9,50,0,10.1.1.18,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,50_static_tcp_benign_low_r9,50,0,10.1.1.27,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,50_static_tcp_benign_low_r9,50,0,10.1.1.34,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,50_static_tcp_benign_low_r9,50,0,10.1.1.38,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,50_static_tcp_benign_low_r9,50,0,10.1.1.39,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,50_static_tcp_benign_low_r9,50,0,10.1.1.40,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,50_static_tcp_benign_low_r9,50,0,10.1.1.42,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,50_static_tcp_benign_low_r9,50,0,10.1.1.45,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,50_static_tcp_benign_low_r9,50,0,10.1.1.46,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,50_static_tcp_benign_low_r9,50,0,10.1.1.2,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,50_static_tcp_benign_low_r9,50,0,10.1.1.4,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,50_static_tcp_benign_low_r9,50,0,10.1.1.6,10.1.1.3,49153,1002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,50_static_tcp_benign_low_r9,50,0,10.1.1.9,10.1.1.3,49153,1002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,50_static_tcp_benign_low_r9,50,0,10.1.1.13,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,50_static_tcp_benign_low_r9,50,0,10.1.1.16,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,50_static_tcp_benign_low_r9,50,0,10.1.1.18,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,50_static_tcp_benign_low_r9,50,0,10.1.1.27,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,50_static_tcp_benign_low_r9,50,0,10.1.1.34,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,50_static_tcp_benign_low_r9,50,0,10.1.1.38,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,50_static_tcp_benign_low_r9,50,0,10.1.1.39,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,50_static_tcp_benign_low_r9,50,0,10.1.1.40,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,50_static_tcp_benign_low_r9,50,0,10.1.1.42,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,50_static_tcp_benign_low_r9,50,0,10.1.1.45,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,50_static_tcp_benign_low_r9,50,0,10.1.1.46,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,50_static_tcp_benign_low_r9,50,0,10.1.1.2,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,50_static_tcp_benign_low_r9,50,0,10.1.1.4,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,50_static_tcp_benign_low_r9,50,0,10.1.1.6,10.1.1.3,49153,1002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,50_static_tcp_benign_low_r9,50,0,10.1.1.9,10.1.1.3,49153,1002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,50_static_tcp_benign_low_r9,50,0,10.1.1.13,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,50_static_tcp_benign_low_r9,50,0,10.1.1.16,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,50_static_tcp_benign_low_r9,50,0,10.1.1.18,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,50_static_tcp_benign_low_r9,50,0,10.1.1.27,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,50_static_tcp_benign_low_r9,50,0,10.1.1.34,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,50_static_tcp_benign_low_r9,50,0,10.1.1.38,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,50_static_tcp_benign_low_r9,50,0,10.1.1.39,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,50_static_tcp_benign_low_r9,50,0,10.1.1.40,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,50_static_tcp_benign_low_r9,50,0,10.1.1.42,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,50_static_tcp_benign_low_r9,50,0,10.1.1.45,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,50_static_tcp_benign_low_r9,50,0,10.1.1.46,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8,50_static_tcp_benign_low_r9,50,0,10.1.1.2,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8,50_static_tcp_benign_low_r9,50,0,10.1.1.4,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8,50_static_tcp_benign_low_r9,50,0,10.1.1.6,10.1.1.3,49153,1002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8,50_static_tcp_benign_low_r9,50,0,10.1.1.9,10.1.1.3,49153,1002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8,50_static_tcp_benign_low_r9,50,0,10.1.1.13,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8,50_static_tcp_benign_low_r9,50,0,10.1.1.16,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8,50_static_tcp_benign_low_r9,50,0,10.1.1.18,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8,50_static_tcp_benign_low_r9,50,0,10.1.1.27,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8,50_static_tcp_benign_low_r9,50,0,10.1.1.34,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8,50_static_tcp_benign_low_r9,50,0,10.1.1.38,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8,50_static_tcp_benign_low_r9,50,0,10.1.1.39,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8,50_static_tcp_benign_low_r9,50,0,10.1.1.40,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8,50_static_tcp_benign_low_r9,50,0,10.1.1.42,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8,50_static_tcp_benign_low_r9,50,0,10.1.1.45,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8,50_static_tcp_benign_low_r9,50,0,10.1.1.46,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9,50_static_tcp_benign_low_r9,50,0,10.1.1.2,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9,50_static_tcp_benign_low_r9,50,0,10.1.1.4,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9,50_static_tcp_benign_low_r9,50,0,10.1.1.6,10.1.1.3,49153,1002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9,50_static_tcp_benign_low_r9,50,0,10.1.1.9,10.1.1.3,49153,1002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9,50_static_tcp_benign_low_r9,50,0,10.1.1.13,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9,50_static_tcp_benign_low_r9,50,0,10.1.1.16,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9,50_static_tcp_benign_low_r9,50,0,10.1.1.18,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9,50_static_tcp_benign_low_r9,50,0,10.1.1.27,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9,50_static_tcp_benign_low_r9,50,0,10.1.1.34,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9,50_static_tcp_benign_low_r9,50,0,10.1.1.38,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9,50_static_tcp_benign_low_r9,50,0,10.1.1.39,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9,50_static_tcp_benign_low_r9,50,0,10.1.1.40,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9,50_static_tcp_benign_low_r9,50,0,10.1.1.42,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9,50_static_tcp_benign_low_r9,50,0,10.1.1.45,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9,50_static_tcp_benign_low_r9,50,0,10.1.1.46,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,10,50_static_tcp_benign_low_r9,50,0,10.1.1.2,10.1.1.36,49153,1035,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
9,10,50_static_tcp_benign_low_r9,50,0,10.1.1.4,10.1.1.5,49153,1004,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
9,10,50_static_tcp_benign_low_r9,50,0,10.1.1.6,10.1.1.3,49153,1002,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
9,10,50_static_tcp_benign_low_r9,50,0,10.1.1.9,10.1.1.3,49153,1002,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
9,10,50_static_tcp_benign_low_r9,50,0,10.1.1.13,10.1.1.32,49153,1031,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
9,10,50_static_tcp_benign_low_r9,50,0,10.1.1.16,10.1.1.36,49153,1035,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
9,10,50_static_tcp_benign_low_r9,50,0,10.1.1.18,10.1.1.32,49153,1031,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
9,10,50_static_tcp_benign_low_r9,50,0,10.1.1.27,10.1.1.5,49153,1004,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
9,10,50_static_tcp_benign_low_r9,50,0,10.1.1.34,10.1.1.5,49153,1004,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
9,10,50_static_tcp_benign_low_r9,50,0,10.1.1.38,10.1.1.32,49153,1031,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
9,10,50_static_tcp_benign_low_r9,50,0,10.1.1.39,10.1.1.5,49153,1004,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
9,10,50_static_tcp_benign_low_r9,50,0,10.1.1.40,10.1.1.32,49153,1031,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
9,10,50_static_tcp_benign_low_r9,50,0,10.1.1.42,10.1.1.36,49153,1035,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
9,10,50_static_tcp_benign_low_r9,50,0,10.1.1.45,10.1.1.32,49153,1031,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
9,10,50_static_tcp_benign_low_r9,50,0,10.1.1.46,10.1.1.5,49153,1004,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
10,11,50_static_tcp_benign_low_r9,50,0,10.1.1.2,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,50_static_tcp_benign_low_r9,50,0,10.1.1.4,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,50_static_tcp_benign_low_r9,50,0,10.1.1.6,10.1.1.3,49153,1002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,50_static_tcp_benign_low_r9,50,0,10.1.1.9,10.1.1.3,49153,1002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,50_static_tcp_benign_low_r9,50,0,10.1.1.13,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,50_static_tcp_benign_low_r9,50,0,10.1.1.16,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,50_static_tcp_benign_low_r9,50,0,10.1.1.18,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,50_static_tcp_benign_low_r9,50,0,10.1.1.27,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,50_static_tcp_benign_low_r9,50,0,10.1.1.34,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,50_static_tcp_benign_low_r9,50,0,10.1.1.38,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,50_static_tcp_benign_low_r9,50,0,10.1.1.39,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,50_static_tcp_benign_low_r9,50,0,10.1.1.40,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,50_static_tcp_benign_low_r9,50,0,10.1.1.42,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,50_static_tcp_benign_low_r9,50,0,10.1.1.45,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,50_static_tcp_benign_low_r9,50,0,10.1.1.46,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12,50_static_tcp_benign_low_r9,50,0,10.1.1.2,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12,50_static_tcp_benign_low_r9,50,0,10.1.1.4,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12,50_static_tcp_benign_low_r9,50,0,10.1.1.6,10.1.1.3,49153,1002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12,50_static_tcp_benign_low_r9,50,0,10.1.1.9,10.1.1.3,49153,1002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12,50_static_tcp_benign_low_r9,50,0,10.1.1.13,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12,50_static_tcp_benign_low_r9,50,0,10.1.1.16,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12,50_static_tcp_benign_low_r9,50,0,10.1.1.18,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12,50_static_tcp_benign_low_r9,50,0,10.1.1.27,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12,50_static_tcp_benign_low_r9,50,0,10.1.1.34,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12,50_static_tcp_benign_low_r9,50,0,10.1.1.38,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12,50_static_tcp_benign_low_r9,50,0,10.1.1.39,10.1.1.5,49153,1004,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12,50_static_tcp_benign_low_r9,50,0,10.1.1.40,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12,50_static_tcp_benign_low_r9,50,0,10.1.1.42,10.1.1.36,49153,1035,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12,50_static_tcp_benign_low_r9,50,0,10.1.1.45,10.1.1.32,49153,1031,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
